renda_mensal,divida_atual,historico_pagamentos,idade,num_dependentes,inadimplente
2657.44,0.0,65,72,5,0
2120.97,0.0,70,73,0,0
3491.54,841.71,69,46,3,1
2217.18,441.07,67,78,0,0
2058.08,464.15,75,29,4,0
3616.42,472.6,67,80,2,1
2357.06,706.3,53,37,5,0
3473.2,1180.53,87,55,3,1
3534.37,963.46,86,37,2,0
1514.3,243.61,88,47,0,1
2247.61,0.0,52,40,3,0
7108.41,2241.89,79,65,2,1
1493.86,572.54,85,23,0,1
842.5,249.96,60,74,3,0
981.68,66.81,75,78,1,0
3052.86,919.12,73,55,1,1
3056.17,1005.72,100,54,0,0
2795.6,1212.79,100,64,2,0
6216.0,426.32,50,31,1,0
603.45,100.19,100,68,0,0
3804.45,1187.33,61,32,2,1
7655.89,1597.11,90,63,1,1
1524.92,49.41,90,38,0,0
2388.65,626.29,60,67,2,0
1909.57,547.66,82,71,0,0
1754.19,373.98,73,31,5,0
2466.64,574.57,83,59,2,1
7064.65,1138.78,78,51,5,0
9034.44,3810.2,93,37,5,1
2452.35,159.15,76,57,5,1
9408.83,1052.87,72,84,3,0
3064.73,618.0,91,18,2,0
8591.96,2851.18,84,82,4,0
2836.68,0.0,86,75,0,0
3245.43,11.21,65,53,5,0
3735.56,0.0,59,58,1,0
20204.89,4140.07,66,42,0,0
4999.73,161.26,66,26,1,0
1962.57,279.31,87,56,1,0
5365.62,1605.43,90,72,0,1
2414.55,250.55,73,33,4,1
2236.16,524.81,96,66,0,1
5174.66,802.59,96,68,5,0
3056.48,919.44,79,68,2,1
3545.78,961.86,63,40,4,1
3025.28,291.06,99,44,2,0
3671.36,641.39,74,45,0,0
3871.31,1380.36,77,75,1,0
938.41,243.05,70,78,3,1
4475.22,0.0,62,45,4,0
1664.29,496.53,53,82,1,0
1262.68,47.11,84,56,2,0
2896.68,1193.08,63,43,5,1
3155.04,1115.67,100,18,5,0
1978.84,481.81,59,58,2,1
4939.34,1104.36,56,61,1,1
1340.85,226.13,83,82,1,0
2350.07,709.2,98,66,3,0
2112.11,304.95,76,19,3,1
2917.3,686.54,84,55,1,0
3546.39,1173.11,47,67,0,1
1638.66,189.64,65,51,2,0
4632.89,498.37,59,46,4,0
3115.57,64.94,47,72,0,0
964.1,38.88,77,58,2,0
926.31,0.0,41,63,0,0
2977.91,921.59,55,49,1,0
2627.5,1238.44,67,36,3,1
2819.5,1166.71,63,52,1,0
2950.05,0.0,81,82,1,0
3434.76,1060.41,80,58,5,0
5297.33,2189.47,88,65,1,1
1540.26,202.51,86,26,1,0
1485.02,319.6,92,84,5,1
1556.78,0.0,75,34,3,0
3567.85,856.32,80,83,0,0
6331.78,256.22,83,47,2,0
2315.92,532.53,77,79,3,1
668.71,0.0,69,77,1,0
1079.2,303.72,70,68,3,1
1819.92,643.66,63,79,3,1
2146.79,177.16,81,58,1,0
2348.04,69.18,74,74,4,0
3070.26,0.0,65,29,2,0
2488.21,398.21,65,22,5,1
5630.6,634.91,57,54,0,0
1999.71,0.0,90,72,1,0
1788.22,479.16,76,69,4,1
3998.57,529.83,62,53,5,0
1193.9,46.13,87,52,1,0
3790.23,442.75,67,58,5,1
3190.39,1150.76,54,76,1,1
2746.0,797.55,90,74,2,0
7780.17,1404.29,67,25,1,0
2065.33,604.86,69,57,2,1
10327.3,267.1,76,43,5,0
2620.47,536.82,92,71,4,1
1394.31,309.67,75,51,4,0
3128.53,405.22,57,84,1,0
1572.81,417.3,83,46,5,0
1910.87,158.48,68,63,2,1
3806.96,1052.52,100,25,3,1
4186.9,1183.97,75,80,4,1
2065.37,0.0,41,28,3,0
5425.2,2053.69,80,43,3,1
6008.15,0.0,100,74,2,0
7102.12,764.14,99,82,3,0
4121.68,1458.26,100,50,5,0
6798.28,1036.11,60,50,2,1
970.57,0.0,89,21,3,1
2479.03,89.09,64,83,1,0
1783.2,631.32,78,19,2,0
3222.47,0.0,56,19,4,0
2129.19,786.41,65,49,3,1
2715.34,520.62,65,18,1,1
9280.52,196.2,88,29,3,0
2709.54,304.91,87,60,4,0
3845.44,182.34,79,65,0,0
2609.74,861.04,55,37,0,0
3139.43,972.8,70,71,2,1
3010.85,0.0,64,58,3,0
3925.94,547.52,88,33,1,0
6036.33,425.69,93,65,4,0
8061.09,3176.28,91,57,5,1
3612.44,0.0,64,72,3,0
4273.1,1882.87,34,28,2,1
1503.95,293.28,48,33,0,0
2845.92,73.17,96,38,4,0
5273.98,519.01,69,40,5,0
5043.97,402.29,64,77,2,1
3406.13,30.0,100,67,3,0
5106.17,1093.86,94,54,4,1
4027.2,63.68,75,54,4,0
6164.43,0.0,71,77,0,0
3568.79,510.51,73,47,4,1
2423.45,0.0,78,33,5,0
3669.73,319.91,99,27,4,0
516.98,32.9,81,40,2,0
3774.79,261.66,86,61,3,0
336.07,168.08,93,49,1,0
1066.66,222.36,57,46,3,0
3934.07,931.61,86,50,1,0
3995.34,0.0,71,83,2,0
1493.55,152.2,37,84,1,0
1956.88,454.57,43,28,2,0
6827.35,316.25,60,25,2,0
2243.85,754.4,83,34,0,1
11523.22,225.8,77,75,4,0
2996.55,470.59,78,48,2,1
3832.18,429.56,100,75,5,1
7914.82,1778.05,56,61,1,0
3245.37,337.28,75,55,4,1
1644.12,262.02,80,36,1,0
2808.85,462.28,64,41,3,0
2936.58,263.83,75,27,2,1
1322.82,360.82,51,52,2,0
2573.1,606.63,96,36,3,1
1921.87,358.83,65,37,4,0
5223.81,707.47,100,20,1,0
3062.95,978.56,75,71,5,1
2531.81,416.8,90,80,1,1
2814.83,433.47,74,51,1,0
3429.74,739.81,75,53,1,0
4343.59,1974.11,66,80,5,1
1646.72,0.0,77,52,0,0
1605.86,506.61,80,59,2,1
5820.7,0.0,63,46,2,0
2342.48,544.84,73,52,4,1
1282.11,559.34,66,52,2,0
3915.33,1070.06,100,65,5,1
3961.55,893.7,74,58,4,0
1197.44,138.82,98,51,4,0
3442.86,704.61,72,23,4,1
4664.41,756.52,79,78,0,0
3755.59,308.35,55,77,2,1
4383.3,686.07,68,30,3,0
1291.82,296.8,78,37,1,0
3659.17,310.73,99,83,0,0
2501.87,197.79,78,39,0,1
2245.52,0.0,96,72,4,0
5057.87,1308.01,85,70,3,1
7287.62,2053.64,99,75,1,1
8804.25,2066.79,74,19,4,1
6602.82,2276.49,100,50,4,0
2808.84,598.79,68,55,4,0
3707.08,959.4,64,74,5,0
4752.67,1167.14,57,33,5,1
3226.25,600.95,100,38,1,0
3244.86,390.61,87,30,4,0
4917.81,2616.88,70,69,2,1
